id2,cuisine
d8286886,
d7818546,
d1344523,"['Italian', 'European', 'Vegetarian Friendly']"
d8435085,
d8334752,
d13202032,
d5795143,"['Mediterranean', 'Spanish']"
d11953078,['French']
d13234520,"['European', 'British', 'Vegetarian Friendly']"
d12170920,
d8180306,"['Bar', 'Pub']"
d11959505,
d9561771,['Vegetarian Friendly']
d7124128,
d11633790,"['Bar', 'Pub']"
d8448700,
d5776216,"['Italian', 'Mediterranean', 'European']"
d11769083,
d11667248,
d8338351,['Cafe']
d8352929,"['Cafe', 'European', 'Vegetarian Friendly']"
d719850,['French']
d8535535,"['American', 'Deli']"
d4769732,
d8837875,
d7813343,['Asian']
d9762124,
d12644341,
d11636306,
d10455057,
d5793336,
d12624748,
d4961508,
d9788680,
d7818336,['Fast Food']
d4802788,
d12286606,
d2284554,"['Austrian', 'European', 'Vegetarian Friendly']"
d12212609,
d11851315,"['Chinese', 'Asian', 'Thai']"
d12673809,"['Steakhouse', 'Bar', 'European']"
d5820527,
d5796259,"['Mediterranean', 'Spanish']"
d8580647,
d2244203,"['Cafe', 'Vegetarian Friendly']"
d8339695,
d9742064,"['Dessert', 'Cafe', 'European']"
d12373265,['British']
d7314013,
d1381958,"['Bar', 'Pub']"
d1359197,"['Middle Eastern', 'Vegetarian Friendly', 'Vegan Options']"
d12419687,['Greek']
d5616724,"['Mediterranean', 'European', 'Spanish']"
d9846374,"['Mediterranean', 'Spanish']"
d10040653,
d10390082,
d1344132,"['German', 'European', 'Vegetarian Friendly']"
d5512401,"['Italian', 'Pizza']"
d5244329,
d5312810,"['Quick Bites', 'Fast Food']"
d997514,['Spanish']
d12637137,"['Bakeries', 'French', 'Cafe']"
d7281369,
d13326576,['French']
d11992842,
d10763412,"['European', 'Croatian', 'Vegetarian Friendly']"
d12413347,
d8340062,
d10748374,
d11670765,
d12654166,
d5801054,['French']
d8751939,['Italian']
d10784904,"['Pizza', 'Vegetarian Friendly']"
d12714294,['Seafood']
d12051527,"['Sushi', 'Asian', 'Vietnamese']"
d10206734,['Fast Food']
d8452336,['Cafe']
d4770145,
d6354125,
d4149899,
d5977251,
d5610400,"['Quick Bites', 'Cafe', 'Fast Food']"
d10469022,['Spanish']
d12157743,
d5852121,['Vegetarian Friendly']
d1646374,"['Steakhouse', 'Spanish']"
d5085896,
d8397526,['Italian']
d12194634,
d6437529,
d3322944,
d9788415,
d12811941,
d7103893,
d12322814,
d12362395,
d8339733,
d5122138,"['Quick Bites', 'American', 'Fast Food']"
d8338572,
d6827904,
d5820891,
d8066848,
d6474660,['Pub']
d12151343,
d13078737,
d1354734,
d11756903,['Spanish']
d12662018,
d11650889,
d12643422,
d1331632,
d8440458,"['Japanese', 'Seafood', 'Asian']"
d5603933,
d5220303,"['Quick Bites', 'Cafe']"
d4767741,['Czech']
d12992001,"['Mediterranean', 'European', 'Spanish']"
d10722137,
d4769786,
d11729264,['French']
d10337583,"['European', 'Danish']"
d1356235,"['European', 'Vegetarian Friendly']"
d5608955,['Spanish']
d1341330,"['Turkish', 'Middle Eastern', 'Vegetarian Friendly']"
d7009439,"['German', 'Vegetarian Friendly']"
d12437853,"['European', 'Portuguese']"
d8393826,
d8341129,
d12208421,"['German', 'European', 'Spanish']"
d12434687,['Cafe']
d12598927,"['Italian', 'Pizza', 'Seafood']"
d10844418,['Spanish']
d11952841,
d11724859,"['American', 'Fast Food', 'Vegetarian Friendly']"
d10007089,"['Bar', 'Cafe', 'Spanish']"
d12411515,"['French', 'Fast Food', 'Vegetarian Friendly']"
d10838422,
d8802169,['Fusion']
d11916598,"['Polish', 'Fast Food', 'European']"
d11814754,"['Asian', 'Vietnamese']"
d5507530,"['Quick Bites', 'Fast Food']"
d5521656,
d12689844,"['Cafe', 'Vegetarian Friendly', 'Vegan Options']"
d8766179,
d12398846,"['French', 'Japanese Fusion', 'Vegetarian Friendly']"
d7812069,"['Mediterranean', 'Spanish']"
d10054994,
d8286559,
d5792596,
d5517686,['Fast Food']
d12395867,"['Bar', 'Pub']"
d12323734,
d5795667,
d10321552,
d5513738,
d1200317,"['Seafood', 'Sardinian', 'Southern-Italian']"
d12416567,
d12611067,
d9804458,
d10356334,['Fast Food']
d11802036,
d8461856,
d12839024,
d12599659,
d5956891,"['Cafe', 'Vegetarian Friendly']"
d5617412,
d8704716,
d10304970,['Vegetarian Friendly']
d13223254,"['Bar', 'Spanish', 'Pub']"
d10375857,
d7342177,"['Fast Food', 'Turkish', 'Middle Eastern']"
d3347841,
d11832181,
d13225068,['Greek']
d9711359,
d10521562,
d5122283,['Fast Food']
d10483786,
d8857538,
d11929290,"['Pizza', 'Fast Food']"
d9789972,"['Fast Food', 'Spanish', 'Vegetarian Friendly']"
d6973248,"['Italian', 'Cafe', 'Mediterranean']"
d12476558,['Vegetarian Friendly']
d12998030,
d3822624,
d8339942,
d12224017,
d6807201,"['European', 'Asian', 'Healthy']"
d4769839,
d6280599,"['Quick Bites', 'American', 'Fast Food']"
d10836642,
d4980156,
d1017802,
d10372287,"['Polish', 'European']"
d11771167,
d8534515,
d997742,['Spanish']
d9796579,
d9771181,
d2072935,
d815943,
d5798343,['Italian']
d12328596,"['Mediterranean', 'European', 'Greek']"
d10057590,
d4222546,
d10059544,"['Middle Eastern', 'Persian']"
d7818372,"['Mediterranean', 'Spanish']"
d10052677,
d1017382,
d5872661,
d4025775,['Dessert']
d13083608,
d10785527,['German']
d12413351,"['European', 'Portuguese']"
d9743120,
d5862883,
d11841507,
d7689925,"['European', 'Portuguese']"
d5122301,['Fast Food']
d11957077,
d8765247,
d4769864,
d1878972,"['German', 'European', 'Central European']"
d4991858,
d12355632,
d9994334,['French']
d8118182,
d7083109,
d11734232,
d11180599,"['Asian', 'Vietnamese', 'Healthy']"
d12499101,"['Dessert', 'Polish', 'Cafe']"
d12667659,['Cafe']
d8316919,
d8768763,
d9751083,
d5792726,['German']
d11434882,"['Italian', 'Pizza', 'Vegetarian Friendly']"
d986295,
d9726206,"['Asian', 'Thai', 'Vegetarian Friendly']"
d12402801,
d12363063,['Mexican']
d9984965,
d12804921,
d10786704,['Cafe']
d1039638,"['Asian', 'Vietnamese', 'Vegetarian Friendly']"
d12808442,"['Quick Bites', 'American', 'Fast Food']"
d8338682,['Italian']
d908564,"['Japanese', 'Sushi', 'Asian']"
d13144667,
d10467259,"['Bar', 'Pub']"
d8487831,
d8374290,
d12069730,
d8790148,"['Italian', 'Vegetarian Friendly']"
d4295446,"['French', 'Swiss', 'Cafe']"
d5541906,
d12437603,
d5827373,
d6404982,['French']
d7953648,"['Barbecue', 'Spanish']"
d5529367,"['Asian', 'Vietnamese']"
d8339185,
d5798289,
d10335974,['European']
d12132646,
d13001248,"['Quick Bites', 'French', 'Cafe']"
d10769495,"['Polish', 'International', 'European']"
d8338513,
d9791243,
d12870795,['Cafe']
d4925466,['Chinese']
d5511876,"['German', 'European']"
d7998517,"['Mediterranean', 'Spanish']"
d10901200,"['Polish', 'European']"
d7816172,"['French', 'Bar', 'European']"
d10730270,
d5810138,
d6628560,
d12550266,
d8003101,
d10046178,"['Italian', 'Pizza', 'Mediterranean']"
d5425678,['Turkish']
d12340653,"['Cafe', 'Diner', 'Vegetarian Friendly']"
d11912376,['Spanish']
d10678404,
d4149186,"['Italian', 'Wine Bar']"
d11995777,
d9809531,
d11746045,
d7595936,
d9567836,"['Asian', 'Middle Eastern']"
d10726675,['Vegetarian Friendly']
d10596710,
d12510178,
d10758343,"['Italian', 'Wine Bar']"
d10821048,['French']
d12170894,['Italian']
d11888319,"['Bar', 'Pub']"
d4973227,
d5824508,"['German', 'International', 'European']"
d11649922,
d7260102,['Cafe']
d12049182,['Cafe']
d13352421,"['Bakeries', 'French']"
d12459601,['Cafe']
d1717491,
d10063331,
d8352419,"['Pizza', 'Vegetarian Friendly']"
d6875434,['Spanish']
d2177569,"['Cafe', 'European', 'Central European']"
d12229500,"['Quick Bites', 'Bar', 'British']"
d8339908,
d5981254,
d2227270,"['European', 'Slovenian']"
d11735169,['American']
d5243071,"['Quick Bites', 'Grill', 'Portuguese']"
d8339707,['Italian']
d10664979,
d10810542,
d11824935,
d12999736,"['Dessert', 'Cafe']"
d9603364,"['Austrian', 'European', 'Hungarian']"
d4769760,
d5794487,
d13171395,['Seafood']
d1324543,['Italian']
d10841027,
d4793244,
d11905348,
d5966176,
d7322731,
d3874034,"['Lebanese', 'Mediterranean', 'Healthy']"
d5616864,['Spanish']
d11929286,
d8794792,
d8298981,"['Cafe', 'Healthy', 'Vegetarian Friendly']"
d5776462,
d12359593,['Arabic']
d9771362,
d10302685,"['Italian', 'Pizza', 'Mediterranean']"
d1116240,
d8341204,['Italian']
d12194116,"['Italian', 'Pizza', 'Mediterranean']"
d12063899,"['Mediterranean', 'Spanish', 'Healthy', 'Dining bars']"
d9783583,"['Fast Food', 'Vegetarian Friendly']"
d5980811,
d12163473,
d10831262,"['Italian', 'Pizza']"
d12880824,
d5616136,['Fast Food']
d8448633,
d11702322,['Cafe']
d12090453,
d6529285,
d8339890,
d13328807,
d8339817,['Italian']
d1337027,"['French', 'European', 'Vegetarian Friendly']"
d788005,"['European', 'Scandinavian']"
d2640350,"['German', 'Bar', 'European']"
d8448618,"['French', 'European', 'Wine Bar']"
d12643931,
d11791770,"['Bar', 'Cafe', 'Mediterranean']"
d10546432,"['Dessert', 'Cafe']"
d8499158,['Chinese']
d4411135,
d8339724,"['Italian', 'Pizza']"
d10259206,"['European', 'Portuguese']"
d11642166,
d12942212,"['Chinese', 'Fast Food', 'Asian', 'Vegetarian Friendly']"
d7591547,"['Italian', 'Cafe', 'Vegetarian Friendly']"
d5823776,
d8650810,"['Bar', 'Pub']"
d1093831,
d697566,
d7389259,"['Cafe', 'European']"
d8124590,"['Bar', 'Pub']"
d5884618,['Spanish']
d7056704,
d10583902,"['Bar', 'Spanish', 'Pub']"
d12535449,['Specialty Food Market']
d9758131,
d12632294,
d8499439,['Spanish']
d10466242,"['Bar', 'Contemporary', 'Pub']"
d1037257,"['German', 'Vegetarian Friendly']"
d10683556,"['Quick Bites', 'Fast Food', 'Turkish']"
d10465094,
d10066497,"['Dessert', 'Swiss', 'Cafe']"
d10595068,
d12643879,['Italian']
d1024937,
d1354482,"['European', 'Croatian', 'Vegetarian Friendly']"
d10467114,"['Dessert', 'Cafe']"
d10092485,
d12006313,['Italian']
d12347729,['German']
d5895232,['Cafe']
d10365097,['Cafe']
d10450313,['Italian']
d12627228,
d7675835,
d12219123,
d10107178,
d10862809,
d8449736,
d2299383,
d11849043,['Healthy']
d12626892,"['Healthy', 'Vegetarian Friendly', 'Vegan Options']"
d10027603,
d5994252,['Spanish']
d11808094,"['Dessert', 'Italian']"
d12166429,
d9814847,"['European', 'Vegetarian Friendly']"
d10517095,"['Quick Bites', 'European', 'Diner']"
d787860,['Vegetarian Friendly']
d7303419,
d4918936,
d997707,
d6782118,"['Cafe', 'European', 'Portuguese']"
d10077907,"['German', 'International']"
d12624533,"['Seafood', 'Mediterranean', 'Spanish']"
d10757796,"['Greek', 'Vegetarian Friendly']"
d12069548,
d8646129,"['Mediterranean', 'Spanish']"
d7595921,"['Cafe', 'Vegetarian Friendly']"
d12825112,"['Turkish', 'Vegetarian Friendly']"
d10345125,['Spanish']
d7379343,
d10859982,"['American', 'Fast Food', 'Vegetarian Friendly']"
d8297603,['Fast Food']
d11903522,
d8297656,"['Quick Bites', 'American', 'Fast Food']"
d997318,
d1331456,
d12658748,
d10339094,
