id2,num_of_reviews
d8286886,1.0
d13202032,
d7124128,2.0
d12032989,2.0
d10088997,1.0
d12644341,4.0
d12204689,14.0
d4802788,
d12530776,9.0
d753088,1.0
d12953643,1.0
d1114749,1.0
d11804444,2.0
d5244329,
d13326576,14.0
d11992842,2.0
d11670765,1.0
d12654166,3.0
d7287872,5.0
d8364955,1.0
d6354125,
d7123259,1.0
d7297021,1.0
d12811941,1.0
d12362395,
d12454145,3.0
d8530002,1.0
d13224191,10.0
d12151343,
d13078737,
d12145892,4.0
d12662018,
d11650889,
d12516807,1.0
d4769786,4.0
d7701632,1.0
d7123376,1.0
d12437853,1.0
d12079826,8.0
d12434687,3.0
d12598927,29.0
d1320175,1.0
d10755939,1.0
d11952841,1.0
d13167715,6.0
d5506579,2.0
d8802169,1.0
d5262443,1.0
d10138414,
d5521656,1.0
d5519325,
d10054994,1.0
d5792596,
d12395867,2.0
d7124372,1.0
d5795667,
d5513738,3.0
d12611067,
d7234492,1.0
d13223254,5.0
d10375857,1.0
d10517399,
d10521562,1.0
d10483786,1.0
d8857538,1.0
d7194365,
d12998030,4.0
d12224017,1.0
d13168228,4.0
d12988669,48.0
d815943,2.0
d5872661,
d9743120,
d5122301,2.0
d11737024,2.0
d6404771,1.0
d986295,1.0
d12119212,4.0
d7124461,
d13144667,6.0
d7953648,10.0
d4107727,2.0
d717315,2.0
d8339185,1.0
d10075998,3.0
d13326457,2.0
d13001248,53.0
d9791243,
d4925466,4.0
d12550266,3.0
d8003101,1.0
d7714708,1.0
d9809531,3.0
d12510178,1.0
d13150803,
d5794686,3.0
d4973227,1.0
d11649922,7.0
d12049182,4.0
d13205852,106.0
d8436649,1.0
d11735169,6.0
d11824935,
d12999736,19.0
d5794487,4.0
d13171395,6.0
d11905348,1.0
d6364123,1.0
d2618137,2.0
d5776462,
d4272054,1.0
d12194116,8.0
d5889207,2.0
d6366359,1.0
d12880824,3.0
d8448633,1.0
d11702322,2.0
d6529285,
d13328807,4.0
d13220849,1.0
d8644712,
d8124590,2.0
d12874859,
d1044643,1.0
d10467114,4.0
d12627228,1.0
d7123818,1.0
d5864074,2.0
d4942699,1.0
d10027603,1.0
d7303419,2.0
d997707,1.0
d13172244,10.0
d10276045,4.0
d12658748,
d6612529,1.0
d12106062,
d13138968,
d10140450,1.0
d13298310,9.0
d12277428,2.0
d12954707,6.0
d1739079,1.0
d4769119,1.0
d13125004,
d5491214,1.0
d12896074,4.0
d7953641,2.0
d5798049,
d5814521,2.0
d8339928,3.0
d7002384,1.0
d5489774,1.0
d7124138,39.0
d3213742,1.0
d7277848,2.0
d5767984,1.0
d5616673,
d4185368,1.0
d12860798,1.0
d13010552,14.0
d8339926,
d13292592,1.0
d11918250,3.0
d1044135,1.0
d8733614,2.0
d6394921,1.0
d5529011,
d10372057,
d11711683,
d11812614,1.0
d4844269,
d4769905,6.0
d12736481,22.0
d8598311,1.0
d6637445,1.0
d11714897,1.0
d10547286,3.0
d8073799,
d12790553,3.0
d13076001,7.0
d8428726,
d9806573,
d12839566,1.0
d11895630,3.0
d1332252,1.0
d7626335,
d11547074,1.0
d7123450,1.0
d10394129,7.0
d10628468,3.0
d12334550,3.0
d4769886,1.0
d7303629,
d7898991,1.0
