id2,price_ran
d8286886,$
d12947542,$$ - $$$
d12716384,$$ - $$$
d7818546,$$ - $$$
d1344523,$$ - $$$
d8435085,
d8334752,
d13202032,
d5795143,$$ - $$$
d11953078,
d13234520,$$ - $$$
d12170920,
d8180306,$
d11959505,
d4988279,
d8747125,
d9561771,$$ - $$$
d7124128,
d11633790,$
d3672020,
d8448700,$
d5776216,$$ - $$$
d11769083,
d11667248,
d8338351,$
d8352929,$$ - $$$
d719850,$$ - $$$
d8535535,
d6962328,$
d4769732,
d8837875,
d7813343,$$ - $$$
d3609570,
d9762124,$$ - $$$
d8376187,$$ - $$$
d12644341,
d9559203,$$ - $$$
d11636306,
d10455057,$
d5793336,
d12624748,
d4961508,
d9788680,
d7818336,$$ - $$$
d2265600,
d4802788,
d12286606,$
d2284554,$$ - $$$
d12212609,
d11851315,
d12172104,$
d753088,
d12673809,$$ - $$$
d12662600,$$ - $$$
d5820527,$
d5796259,$
d6016792,$
d8580647,$
d5223231,$
d2244203,$$ - $$$
d8339695,
d6767680,$$ - $$$
d12953643,
d9742064,$$ - $$$
d12373265,$$ - $$$
d7314013,
d1381958,$$ - $$$
d6014189,
d1359197,$$ - $$$
d1114749,
d12419687,$
d5616724,$$ - $$$
d1337304,$$ - $$$
d12900078,$
d9846374,$
d10040653,$
d10390082,$$ - $$$
d6107752,
d12909070,
d2449537,
d1344132,$$ - $$$
d5512401,$
d4919219,$$ - $$$
d5244329,
d5312810,
d997514,$$ - $$$
d12637137,$
d7281369,
d5532359,
d4923271,
d13326576,$$ - $$$
d11992842,
d3653180,
d8139612,$
d10763412,$
d2518308,
d12413347,
d7724878,
d8340062,
d10433666,$
d11893322,$
d10748374,
d11670765,
d12654166,
d5113108,
d5801054,$$ - $$$
d6673541,
d8732095,
d12936840,$$ - $$$
d7287872,$$ - $$$
d8751939,$$ - $$$
d10784904,$$ - $$$
d12713935,
d12714294,
d12051527,$
d10206734,$
d8452336,$
d2241831,
d8364955,
d4770145,$$ - $$$
d6354125,
d4149899,$
d7123259,
d5977251,$$ - $$$
d2349331,
d4167502,
d7297021,
d8026772,
d11668546,$
d743838,$$ - $$$
d4506283,
d5610400,$
d10469022,$$ - $$$
d8497178,
d12157743,
d5852121,$$ - $$$
d1646374,
d5085896,
d4887793,
d8397526,$
d12194634,
d6437529,$$ - $$$
d3322944,$$ - $$$
d12614169,
d9788415,$
d7727343,$
d12811941,
d7103893,
d12322814,
d12830313,$
d12362395,
d8339733,
d5122138,$
d5003144,
d8338572,
d6827904,
d5820891,
d8530002,
d8066848,
d6474660,$$ - $$$
d13224191,$
d12151343,
d13078737,
d1354734,$
d12072451,
d2642127,
d11756903,$
d12662018,
d11650889,
d5513194,
d12643422,$
d1331632,
d948224,$
d8440458,$$ - $$$
d5603933,$$ - $$$
d7108727,
d5220303,$
d8707524,
d4767741,$$ - $$$
d12992001,$
d5111086,$$ - $$$
d10722137,
d4794471,
d4769786,
d7701632,
d11729264,$$ - $$$
d10337583,
d2232962,
d1356235,$$ - $$$
d12912818,$$ - $$$
d7123376,
d5608955,$$ - $$$
d6704233,$$ - $$$
d1341330,$
d7009439,$$ - $$$
d12437853,
d10343471,$
d12610234,$$ - $$$
d8393826,
d8341129,$$ - $$$
d8633562,$
d2718079,
d12079826,
d12208421,$$ - $$$
d12434687,
d12598927,$
d3810336,
d1320175,
d10844418,$
d11952841,
d11724859,$$ - $$$
d10007089,$
d12411515,$
d5506579,
d10838422,
d919359,
d2697556,
d8802169,
d4563349,
d5262443,
d5532344,$$ - $$$
d11916598,$
d4282114,
d11814754,$
d5507530,$
d5521656,
d12689844,$$ - $$$
d8766179,
d2443318,
d12398846,$$ - $$$
d2320334,$$ - $$$
d5519325,
d7812069,$$ - $$$
d3567994,
d3933260,
d8341999,
d10054994,$
d8286559,
d7284563,
d5792596,
d4305921,
d5517686,$
d12395867,
d4481376,
d7124372,
d6466802,$
d12323734,$$ - $$$
d12930608,$$ - $$$
d5795667,
d10321552,
d7835670,$$ - $$$
d7045736,
d5513738,
d4242121,$$ - $$$
d1200317,$
d12416567,
d12611067,
d7234492,
d9804458,$$ - $$$
d7123339,
d10356334,
d11802036,
d8461856,
d12839024,$$ - $$$
d12599659,
d5956891,$$ - $$$
d5617412,
d8704716,
d10304970,$
d2706475,$$ - $$$
d1044516,
d7123772,$
d13223254,
d10375857,
d7342177,$
d3347841,$
d11832181,
d13225068,$$ - $$$
d9711359,
d10521562,
d4910667,$
d5122283,$
d10483786,
d8857538,
d11929290,$
d7194365,
d9789972,$
d5977515,$
d6973248,$
d990774,
d10231160,
d12476558,$$ - $$$
d12998030,
d6214454,
d3822624,
d5981486,$$ - $$$
d8339942,
d12224017,
d4834253,
d1435274,
d6807201,$$ - $$$
d4769839,
d6499017,
d6280599,$
d10836642,
d4980156,
d1017802,
d10372287,$
d13168228,
d12988669,$$ - $$$
d11771167,$$ - $$$
d8534515,$
d997742,
d12899150,
d9796579,
d9771181,
d2072935,$$ - $$$
d2439609,$
d815943,$$$$
d5798343,$
d12328596,$$ - $$$
d10057590,$
d3842274,$$ - $$$
d4222546,$$ - $$$
d10059544,$$ - $$$
d7818372,$$ - $$$
d10052677,
d1017382,$$ - $$$
d5872661,
d4025775,$$$$
d2614258,
d13083608,
d10785527,$$ - $$$
d12413351,$
d9743120,
d5862883,
d718650,$$ - $$$
d11841507,$
d7689925,$$ - $$$
d3971365,
d5122301,
d11957077,$
d5798908,
d8765247,$
d4769864,$$ - $$$
d4474527,$$ - $$$
d6404771,
d1878972,$$ - $$$
d6437737,
d4991858,
d7032460,
d2695790,$
d12712502,$$ - $$$
d12355632,
d9994334,$$ - $$$
d8118182,
d7094521,
d2386263,
d7083109,
d11734232,
d3607504,
d7011418,$$ - $$$
d7278611,
d11180599,$$ - $$$
d12499101,$
d12667659,$$ - $$$
d7660589,
d8316919,$
d3385081,$
d8768763,
d6570763,
d9751083,$$ - $$$
d5792726,$$ - $$$
d12669894,
d11434882,$
d986295,
d12884500,
d9726206,$$ - $$$
d12402801,
d6000291,
d12363063,$$ - $$$
d9984965,$$ - $$$
d967724,$$ - $$$
d12804921,$$ - $$$
d10786704,
d7279965,
d4209775,$$ - $$$
d8843051,
d1039638,$
d4924325,
d7124461,
d1480731,
d4060223,$$ - $$$
d12808442,$
d8338682,
d908564,$$ - $$$
d4413044,
d11918540,$$ - $$$
d13144667,
d10467259,$
d8487831,
d8374290,
d12798255,$
d12069730,
d8790148,$
d4295446,$$ - $$$
d1812480,
d2614332,$$ - $$$
d5541906,$$ - $$$
d12437603,
d1319428,
d5827373,
d6404982,$$ - $$$
d7953648,
d5529367,
d4107727,
d717315,
d8339185,
d2471130,
d5798289,
d13326457,
d10335974,$$ - $$$
d12132646,
d8746420,$$ - $$$
d13001248,$
d10769495,$
d13196704,$
d8338513,
d9791243,
d12870795,$$ - $$$
d4925466,
d5511876,$$$$
d8027063,$
d7998517,$$ - $$$
d12717191,
d10901200,$
d10422076,$$ - $$$
d7816172,$$ - $$$
d4224522,$$$$
d10730270,
d11045364,
d5810138,
d6628560,
d3791808,
d12550266,
d8003101,
d7114425,$
d10046178,$$ - $$$
d5425678,$
d12340653,$
d5795133,$$ - $$$
d11912376,$$ - $$$
d7714708,
d10678404,
d12569624,$
d4149186,$$ - $$$
d11995777,
d9809531,
d1044873,$$ - $$$
d11746045,
d7595936,$
d6781641,
d9567836,
d10726675,
d10596710,
d12510178,
d10758343,$$ - $$$
d990776,$$ - $$$
d10821048,$$ - $$$
d12170894,$$ - $$$
d5794686,
d11888319,$$ - $$$
d12695978,$
d4973227,
d5824508,$$ - $$$
d11649922,
d7260102,
d12049182,
d13205852,$
d13352421,$$ - $$$
d12459601,$$ - $$$
d8436649,
d1717491,
d4557959,
d10063331,
d8352419,$$ - $$$
d6875434,$
d2177569,$$ - $$$
d8408413,
d12229500,$$ - $$$
d12610216,$$ - $$$
d8339908,$$$$
d5981254,
d2227270,
d11735169,$$ - $$$
d2662940,
d8736408,$$ - $$$
d7123225,
d5243071,$$ - $$$
d8339707,$$ - $$$
d10664979,
d10810542,$$ - $$$
d6776636,$$ - $$$
d11824935,
d6902709,$
d12999736,$$ - $$$
d4924582,
d9603364,$
d4769760,
d5267735,$
d5794487,
d13171395,$$ - $$$
d1324543,$$ - $$$
d12709321,$$ - $$$
d4366304,
d10841027,
d4793244,
d997808,
d11905348,
d1019956,$$ - $$$
d4172468,$$ - $$$
d6364123,
d6155790,
d5966176,
d2618137,
d4179854,$$ - $$$
d6959214,
d7691367,
d7322731,
d3874034,$
d5616864,$$ - $$$
d11929286,$$ - $$$
d4935349,$
d8794792,
d8298981,$$ - $$$
d8563425,$
d6436981,
d5776462,
d12359593,$$ - $$$
d13230525,$$ - $$$
d2196828,
d9771362,$$ - $$$
d7002504,$
d10302685,$$ - $$$
d1116240,
d8341204,
d7123464,
d5977851,
d4272054,
d4911529,
d12194116,$$ - $$$
d12063899,
d9783583,$$ - $$$
d5980811,
d12163473,
d10831262,
d5889207,
d6366359,
d12563916,$$ - $$$
d12880824,
d1983707,
d5616136,$
d8448633,
d11702322,
d12090453,
d7617395,$$ - $$$
d1044371,$
d6529285,
d8339890,
d13328807,
d2678249,
d8339817,$
d1337027,$
d788005,$$ - $$$
d2640350,$$ - $$$
d8448618,$$ - $$$
d12643931,
d11791770,$$ - $$$
d10546432,$$ - $$$
d8499158,
d4101244,
d11641635,
d4103149,
d5794458,$$ - $$$
d4411135,$$ - $$$
d8339724,
d10259206,$
d13220849,
d11642166,
d12942212,
d7591547,$$ - $$$
d12858568,
d7274060,$
d5823776,
d7359057,$$ - $$$
d8650810,
d1093831,$$ - $$$
d6691618,
d697566,
d8814005,
d7389259,$
d8124590,
d5884618,$
d7056704,
d10583902,$
d12535449,$
d4299818,
d9758131,$$ - $$$
d12632294,
d8499439,$
d2209686,
d8285894,$
d3250793,
d3360202,
d10466242,
d1037257,$
d4819194,
d10683556,$
d10465094,$$$$
d10066497,$$ - $$$
d1044643,
d1888314,
d13323388,$$ - $$$
d10595068,
d12643879,
d12341568,
d1024937,$$ - $$$
d1354482,$$ - $$$
d7213531,
d10467114,
d10092485,
d12006313,
d12347729,$$ - $$$
d5895232,$
d4910884,
d7708520,
d10365097,$
d12051353,$$ - $$$
d4225354,
d10450313,$$ - $$$
d12627228,
d7675835,$$ - $$$
d4583520,
d7123818,
d8449933,
d3545274,$
